죄종별(1),죄종별(2),2022,2022,2022,2022,2022,2022,2022,2022
죄종별(1),죄종별(2),계,1일이내,2일이내,5일이내,10일이내,1개월이내,3개월이내,3개월초과
계,소계,1482433,380296.0,54223,115676,136684,276761,250042,268751
강력범죄,소계,24954,6744.0,1302,2468,2482,4833,3713,3412
강력범죄,살인기수,275,171.0,25,15,7,10,9,38
강력범죄,살인미수등,427,298.0,37,19,15,13,16,29
강력범죄,강도,516,283.0,52,37,33,39,35,37
강력범죄,강간,5467,1177.0,307,523,432,891,913,1224
강력범죄,유사강간,947,238.0,59,81,75,166,146,182
강력범죄,강제추행,15864,3899.0,724,1672,1817,3543,2415,1794
강력범죄,기타 강간·강제추행등,225,72.0,15,22,19,26,24,47
강력범죄,방화,1233,606.0,83,99,84,145,155,61
절도범죄,소계,182270,36241.0,8890,17888,25174,46527,36580,10970
폭력범죄,소계,245286,68568.0,10804,26760,30918,56317,37650,14269
폭력범죄,상해,26806,7789.0,1291,2983,3420,6078,3690,1555
폭력범죄,폭행,125217,36791.0,5400,15139,17120,29301,16422,5044
폭력범죄,체포・감금,1145,335.0,65,117,115,207,159,147
폭력범죄,협박,21567,7557.0,1078,2188,2282,4115,2916,1431
폭력범죄,약취・유인,276,78.0,17,23,34,47,52,25
폭력범죄,폭력행위등,6745,1537.0,224,466,638,1558,1464,858
폭력범죄,공갈,6904,1137.0,223,290,550,1276,1459,1969
폭력범죄,손괴,56626,13344.0,2506,5554,6759,13735,11488,3240
지능범죄,소계,405105,67393.0,10478,17953,23981,65014,89171,131115
지능범죄,직무유기,1550,513.0,55,110,132,200,156,384
지능범죄,직권남용,1792,581.0,70,146,158,269,188,380
지능범죄,증수뢰,320,42.0,2,8,7,28,18,215
지능범죄,통화,452,103.0,10,35,50,96,102,56
지능범죄,문서・인장,11259,2124.0,202,395,613,1315,1333,5277
지능범죄,유가증권인지,58,10.0,3,3,6,9,3,24
지능범죄,사기,325848,51549.0,7882,13267,16957,48811,73797,113585
지능범죄,횡령,60220,11800.0,2203,3924,5919,13947,13279,9148
지능범죄,배임,3606,671.0,51,65,139,339,295,2046
풍속범죄,소계,27113,6010.0,1357,2664,2419,4486,4694,5483
풍속범죄,성풍속범죄,22650,5046.0,1057,2151,2186,4067,4165,3978
풍속범죄,도박범죄,4463,964.0,300,513,233,419,529,1505
특별경제범죄,소계,48615,12812.0,1464,2850,3508,7855,8125,12001
마약범죄,소계,10331,1890.0,394,531,598,1489,1716,3713
보건범죄,소계,17749,4281.0,472,1131,1829,4125,3089,2822
환경범죄,소계,3477,820.0,96,182,387,837,499,656
교통범죄,소계,241029,112625.0,10628,26769,24998,39283,20929,5797
노동범죄,소계,714,68.0,8,11,19,44,122,442
안보범죄,소계,219,27.0,3,8,8,17,53,103
선거범죄,소계,2969,722.0,140,289,268,613,613,324
병역범죄,소계,4638,1166.0,124,220,379,1130,1047,572
기타범죄,소계,267964,60929.0,8063,15952,19716,44191,42041,77072
