죄종별(1),죄종별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
죄종별(1),죄종별(2),계,현행범,피해자신고,고소,고발,자수,민간체포,진정투서,타인신고,신문,불심검문,탐문정보,안면식별,감식자료,변사체,범죄수법,발자국,검사지휘,타기관에서이송,범행도구발견,장물,전과조회,기타
계,소계,1342854,84049,482798,207446,54450,12146,306,95380,125251,904,79812,57180,255,765,518,509,13,2215,1638,161,402,104,136552
강력범죄,소계,25507,2398,12240,6169,86,106,22,248,2282,6,138,714,5,30,95,16,1,60,25,2,0,0,864
강력범죄,살인기수,299,37,8,21,3,19,0,1,87,0,1,16,1,0,79,0,1,1,0,1,0,0,23
강력범죄,살인미수등,481,165,96,40,2,16,1,2,107,0,2,19,1,0,1,0,0,2,0,0,0,0,27
강력범죄,강도,801,84,408,44,1,2,1,5,39,1,7,122,2,5,7,13,0,3,1,0,0,0,56
강력범죄,강간,5197,197,2216,1974,16,9,1,60,412,1,2,125,0,7,1,0,0,23,10,0,0,0,143
강력범죄,유사강간,768,25,327,281,4,2,0,8,64,0,0,21,0,0,0,0,0,1,0,0,0,0,35
강력범죄,강제추행,16395,1482,8659,3717,55,31,16,168,1278,2,124,321,1,4,0,1,0,30,13,0,0,0,493
강력범죄,기타 강간·강제추행등,326,18,129,80,1,2,1,3,48,0,0,16,0,10,2,0,0,0,1,0,0,0,15
강력범죄,방화,1240,390,397,12,4,25,2,1,247,2,2,74,0,4,5,2,0,0,0,1,0,0,72
절도범죄,소계,113673,5230,76164,2880,72,458,136,566,1865,401,432,16594,188,298,6,406,6,36,62,68,269,21,7515
폭력범죄,소계,252877,35450,161548,27066,222,456,19,1994,15323,49,48,3394,15,35,42,9,0,227,83,9,0,6,6882
폭력범죄,상해,35995,4241,19694,6984,25,77,4,300,3272,6,3,385,0,3,19,0,0,40,20,1,0,2,919
폭력범죄,폭행,149461,22206,101983,10341,63,207,5,710,8883,25,16,1011,2,8,19,0,0,73,40,2,0,4,3863
폭력범죄,체포・감금,1192,143,624,227,10,0,0,12,125,0,0,23,0,0,0,0,0,0,0,0,0,0,28
폭력범죄,협박,19807,2939,11093,3832,21,20,1,284,706,4,20,166,0,0,1,0,0,43,5,2,0,0,670
폭력범죄,약취・유인,224,10,95,57,1,1,0,0,33,0,0,13,0,0,0,0,0,1,1,0,0,0,12
폭력범죄,폭력행위등,7945,828,4197,1225,19,12,4,62,927,4,1,363,4,1,1,0,0,19,4,0,0,0,274
폭력범죄,공갈,3031,66,993,1061,14,1,0,265,59,0,1,298,1,0,0,2,0,16,8,0,0,0,246
폭력범죄,손괴,35222,5017,22869,3339,69,138,5,361,1318,10,7,1135,8,23,2,7,0,35,5,4,0,0,870
지능범죄,소계,267063,7055,44138,106560,3849,310,16,78717,2582,233,275,7568,30,119,12,47,2,898,358,12,69,52,14161
지능범죄,직무유기,327,0,3,200,93,0,0,9,1,1,0,3,0,0,0,0,0,5,0,0,0,0,12
지능범죄,직권남용,399,0,9,253,68,0,0,6,1,0,0,23,0,0,0,0,0,12,2,0,0,0,25
지능범죄,증수뢰,240,0,3,24,47,2,1,21,9,2,1,77,0,0,0,0,0,3,3,0,0,0,47
지능범죄,통화,107,3,46,1,1,2,0,3,15,0,4,18,0,0,0,1,0,2,0,0,0,0,11
지능범죄,문서・인장,9610,99,228,5943,1078,12,1,550,770,0,82,233,1,1,0,0,0,64,23,0,0,0,525
지능범죄,유가증권인지,103,0,11,69,2,0,0,1,5,0,0,5,0,1,0,0,0,0,0,0,0,0,9
지능범죄,사기,225121,6663,34713,84737,1317,189,14,77000,1463,223,114,4961,17,109,10,43,2,691,312,6,0,51,12486
지능범죄,횡령,27091,290,9109,12446,810,99,0,617,312,7,74,2160,12,8,2,3,0,83,16,6,69,1,967
지능범죄,배임,4065,0,16,2887,433,6,0,510,6,0,0,88,0,0,0,0,0,38,2,0,0,0,79
풍속범죄,소계,19279,2168,4519,1526,176,77,77,500,3106,17,126,3695,1,2,2,10,0,48,44,12,0,0,3173
풍속범죄,성풍속범죄,11452,1413,4315,1509,105,39,77,366,1200,17,107,1128,1,2,2,10,0,26,10,10,0,0,1115
풍속범죄,도박범죄,7827,755,204,17,71,38,0,134,1906,0,19,2567,0,0,0,0,0,22,34,2,0,0,2058
특별경제범죄,소계,44878,8325,11428,11469,3973,96,3,4179,1193,22,141,1439,1,0,0,7,2,181,54,1,1,2,2361
마약범죄,소계,7588,182,116,17,117,350,0,24,637,9,145,3536,2,19,5,3,0,14,21,18,0,3,2370
보건범죄,소계,12289,413,643,487,4730,12,1,709,3110,0,83,688,0,1,2,0,0,17,30,2,0,0,1361
환경범죄,소계,3716,19,31,101,2591,8,0,89,407,5,88,91,0,1,0,0,0,7,9,0,0,0,269
교통범죄,소계,367602,4605,152777,612,1535,9781,14,110,66745,49,66995,1288,6,10,26,5,0,24,183,6,0,5,62826
노동범죄,소계,932,5,11,52,140,2,0,34,62,1,9,79,0,0,0,0,0,0,1,0,0,0,536
안보범죄,소계,156,3,6,16,4,0,0,3,7,1,0,59,0,0,0,0,0,2,0,1,0,0,54
선거범죄,소계,587,0,1,58,296,1,0,16,14,0,0,154,0,0,0,0,0,11,2,0,0,0,34
병역범죄,소계,11742,3,7,144,11339,6,1,5,13,0,7,14,0,0,0,0,0,4,6,0,0,2,191
기타범죄,소계,214965,18193,19169,50289,25320,483,17,8186,27905,111,11325,17867,7,250,328,6,2,686,760,30,63,13,33955
