죄종별(1),죄종별(2),2022,2022,2022,2022,2022,2022,2022,2022
죄종별(1),죄종별(2),계,1일이내,2일이내,3일이내,10일이내,1개월이내,3개월이내,3개월초과
계,소계,1133788,249633,12965,17493,117857,223913,250846,261081.0
강력범죄,소계,23521,4918,187,205,1566,4993,7067,4585.0
강력범죄,살인기수,265,185,5,8,11,10,11,35.0
강력범죄,살인미수등,416,319,5,4,15,20,20,33.0
강력범죄,강도,507,249,21,12,51,58,58,58.0
강력범죄,강간,5151,668,36,43,230,855,1709,1610.0
강력범죄,유사강간,894,113,2,8,35,180,325,231.0
강력범죄,강제추행,14953,2708,94,109,1111,3704,4752,2475.0
강력범죄,기타 강간·강제추행등,224,44,2,0,20,35,52,71.0
강력범죄,방화,1111,632,22,21,93,131,140,72.0
절도범죄,소계,113705,12881,2112,2196,18376,35994,30015,12131.0
폭력범죄,소계,209789,49631,2682,5043,34937,58582,42414,16500.0
폭력범죄,상해,26027,5775,325,531,4118,7555,5515,2208.0
폭력범죄,폭행,118817,28973,1663,3314,22293,34477,21587,6510.0
폭력범죄,체포・감금,1042,303,14,14,116,207,206,182.0
폭력범죄,협박,20341,6145,227,426,2512,4739,4219,2073.0
폭력범죄,약취・유인,248,56,5,3,22,39,73,50.0
폭력범죄,폭력행위등,6401,1032,50,81,637,1709,1819,1073.0
폭력범죄,공갈,2335,105,7,8,86,324,709,1096.0
폭력범죄,손괴,34578,7242,391,666,5153,9532,8286,3308.0
지능범죄,소계,229265,9131,752,835,7369,29824,72029,109325.0
지능범죄,직무유기,308,11,0,1,5,27,92,172.0
지능범죄,직권남용,381,15,0,3,2,34,116,211.0
지능범죄,증수뢰,236,2,0,1,2,12,36,183.0
지능범죄,통화,33,4,1,1,6,5,12,4.0
지능범죄,문서・인장,7997,276,36,39,411,1032,1857,4346.0
지능범죄,유가증권인지,39,3,0,0,6,4,7,19.0
지능범죄,사기,191900,7891,550,560,4686,22569,61598,94046.0
지능범죄,횡령,25548,914,162,229,2232,5998,7639,8374.0
지능범죄,배임,2823,15,3,1,19,143,672,1970.0
풍속범죄,소계,22384,3304,102,129,1462,2441,7476,7470.0
풍속범죄,성풍속범죄,18127,2354,78,87,697,2048,6937,5926.0
풍속범죄,도박범죄,4257,950,24,42,765,393,539,1544.0
특별경제범죄,소계,39078,8352,140,227,1871,6103,9451,12934.0
마약범죄,소계,9881,1850,135,101,458,1082,1758,4497.0
보건범죄,소계,16807,1612,152,168,1870,4501,4832,3672.0
환경범죄,소계,3086,125,28,29,354,892,928,730.0
교통범죄,소계,233413,126526,5001,6557,32045,37315,19443,6526.0
노동범죄,소계,686,6,2,2,21,71,151,433.0
안보범죄,소계,169,6,1,1,6,5,50,100.0
선거범죄,소계,2179,193,47,42,201,432,692,572.0
병역범죄,소계,3850,77,74,74,651,1050,1122,802.0
기타범죄,소계,225975,31021,1550,1884,16670,40628,53418,80804.0
