죄종별(1),죄종별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
죄종별(1),죄종별(2),계,현행범,신고,신고.1,신고.2,신고.3,신고.4,신고.5,신고.6,미신고,미신고.1,미신고.2,미신고.3,미신고.4,미신고.5,미신고.6
죄종별(1),죄종별(2),소계,소계,소계,피해자신고,고소,고발,자수,진정투서,타인신고,소계,불심검문,피해품발견,변사체,탐문정보,여죄,기타
계,소계,1482433,72630,1216044,545914,271626,52591,4017,224438,117458,193759,62495,626,291,6615,56329,67403
강력범죄,소계,24954,2569,21710,9557,8438,103,66,811,2735,675,16,1,47,181,59,371
강력범죄,살인기수,275,47,154,16,17,5,18,1,97,74,0,0,44,2,2,26
강력범죄,살인미수등,427,208,202,59,61,2,6,1,73,17,2,0,0,1,2,12
강력범죄,강도,516,90,398,290,59,0,0,11,38,28,0,0,1,9,8,10
강력범죄,강간,5467,286,4937,1521,2591,25,11,231,558,244,0,0,2,58,20,164
강력범죄,유사강간,947,50,870,287,440,6,2,35,100,27,0,0,0,13,6,8
강력범죄,강제추행,15864,1457,14167,6873,5148,62,21,518,1545,240,13,1,0,91,17,118
강력범죄,기타 강간·강제추행등,225,15,200,68,93,0,0,8,31,10,0,0,0,4,0,6
강력범죄,방화,1233,416,782,443,29,3,8,6,293,35,1,0,0,3,4,27
절도범죄,소계,182270,3296,163408,153874,3452,105,120,4062,1795,15566,178,391,0,975,12795,1227
폭력범죄,소계,245286,29432,213412,161019,29269,336,185,9146,13457,2442,17,32,16,332,221,1824
폭력범죄,상해,26806,3429,23078,14255,5680,30,25,608,2480,299,0,3,10,53,11,222
폭력범죄,폭행,125217,16013,108130,85839,12280,71,90,2054,7796,1074,9,17,6,71,22,949
폭력범죄,체포・감금,1145,180,948,447,320,14,1,33,133,17,0,0,0,2,2,13
폭력범죄,협박,21567,4256,17026,10846,4610,42,15,756,757,285,4,1,0,18,12,250
폭력범죄,약취・유인,276,20,245,111,82,4,0,8,40,11,0,0,0,2,1,8
폭력범죄,폭력행위등,6745,484,6038,3838,1181,31,7,185,796,223,2,1,0,107,17,96
폭력범죄,공갈,6904,38,6676,1563,1276,28,3,3729,77,190,1,0,0,66,83,40
폭력범죄,손괴,56626,5012,51271,44120,3840,116,44,1773,1378,343,1,10,0,13,73,246
지능범죄,소계,405105,5457,394092,88136,127905,5817,558,169468,2208,5556,103,112,0,904,1607,2830
지능범죄,직무유기,1550,0,1543,1,1227,289,0,26,0,7,0,0,0,5,1,1
지능범죄,직권남용,1792,0,1777,3,1514,227,0,29,4,15,0,0,0,7,1,7
지능범죄,증수뢰,320,0,229,1,56,119,1,48,4,91,0,0,0,67,1,23
지능범죄,통화,452,2,433,108,2,48,0,132,143,17,0,1,0,3,0,13
지능범죄,문서・인장,11259,81,10545,298,6324,1349,11,1959,604,633,55,2,0,69,235,272
지능범죄,유가증권인지,58,2,53,7,27,4,0,3,12,3,0,0,0,0,0,3
지능범죄,사기,325848,5145,316451,47782,102453,2171,478,162610,957,4252,34,8,0,592,1291,2327
지능범죄,횡령,60220,227,59524,39927,13532,952,66,4570,477,469,14,101,0,113,75,166
지능범죄,배임,3606,0,3537,9,2770,658,2,91,7,69,0,0,0,48,3,18
풍속범죄,소계,27113,1560,21262,4584,8654,298,64,5151,2511,4291,79,2,0,500,365,3345
풍속범죄,성풍속범죄,22650,1175,19464,4329,8621,176,46,4914,1378,2011,70,2,0,181,214,1544
풍속범죄,도박범죄,4463,385,1798,255,33,122,18,237,1133,2280,9,0,0,319,151,1801
특별경제범죄,소계,48615,7156,39385,8423,17478,4010,72,8341,1061,2074,140,20,0,295,543,1076
마약범죄,소계,10331,358,2244,201,26,201,484,163,1169,7729,211,6,3,1154,1029,5326
보건범죄,소계,17749,280,15355,532,518,8045,18,1092,5150,2114,101,0,4,97,445,1467
환경범죄,소계,3477,9,3065,43,79,2578,8,156,201,403,20,0,0,37,253,93
교통범죄,소계,241029,1853,154085,84493,820,6822,2101,473,59376,85091,54662,16,63,67,85,30198
노동범죄,소계,714,1,353,9,37,196,1,83,27,360,1,0,0,41,276,42
안보범죄,소계,219,0,76,13,24,23,2,7,7,143,2,0,0,33,50,58
선거범죄,소계,2969,65,2563,111,270,1290,3,389,500,341,0,8,0,195,0,138
병역범죄,소계,4638,0,4616,0,5,4604,1,4,2,22,0,0,0,0,0,22
기타범죄,소계,267964,20594,180418,34919,74651,18163,334,25092,27259,66952,6965,38,158,1804,38601,19386
