죄종별(1),죄종별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
죄종별(1),죄종별(2),계,현행범,신고,신고.1,신고.2,신고.3,신고.4,신고.5,신고.6,미신고,미신고.1,미신고.2,미신고.3,미신고.4,미신고.5,미신고.6
죄종별(1),죄종별(2),소계,소계,소계,피해자신고,고소,고발,자수,진정투서,타인신고,소계,불심검문,피해품발견,변사체,탐문정보,여죄,기타
계,소계,1429826,64875,1162173,568384,237353,44991,6089,193096,112260,202778,59770,675,342,8667,54485,78839
강력범죄,소계,22476,2268,19536,8170,8217,115,47,630,2357,672,4,0,47,212,74,335
강력범죄,살인기수,270,50,136,17,29,1,6,1,82,84,0,0,44,3,1,36
강력범죄,살인미수등,388,182,192,60,48,2,4,3,75,14,0,0,1,4,2,7
강력범죄,강도,495,87,353,244,58,1,1,9,40,55,0,0,0,12,28,15
강력범죄,강간,5263,275,4794,1469,2610,30,10,162,513,194,0,0,1,68,22,103
강력범죄,유사강간,814,57,730,231,390,3,4,29,73,27,0,0,0,14,0,13
강력범죄,강제추행,13962,1256,12449,5681,4991,75,17,413,1272,257,4,0,0,99,17,137
강력범죄,기타 강간·강제추행등,238,24,204,84,79,1,1,7,32,10,0,0,0,7,0,3
강력범죄,방화,1046,337,678,384,12,2,4,6,270,31,0,0,1,5,4,21
절도범죄,소계,166409,3460,149375,141121,3256,89,111,3158,1640,13574,188,494,0,1424,10249,1219
폭력범죄,소계,232661,27585,202393,153791,28980,302,192,6669,12459,2683,21,31,28,476,264,1863
폭력범죄,상해,28453,3452,24634,15487,6192,35,39,489,2392,367,6,1,11,85,6,258
폭력범죄,폭행,115942,15098,99743,80105,10916,48,81,1456,7137,1101,5,12,13,81,31,959
폭력범죄,체포・감금,1165,176,952,513,276,14,0,17,132,37,1,0,0,7,15,14
폭력범죄,협박,21058,3625,17059,10628,4979,38,23,692,699,374,5,2,0,34,69,264
폭력범죄,약취・유인,240,16,194,84,64,2,0,9,35,30,0,0,0,6,16,8
폭력범죄,폭력행위등,6484,496,5721,3588,1256,35,5,152,685,267,0,1,1,138,14,113
폭력범죄,공갈,5131,42,4898,1131,1269,23,3,2417,55,191,0,2,1,103,40,45
폭력범죄,손괴,54188,4680,49192,42255,4028,107,41,1437,1324,316,4,13,2,22,73,202
지능범죄,소계,361107,4412,347882,79592,111002,4748,432,150305,1803,8813,92,88,1,1472,3799,3361
지능범죄,직무유기,957,0,951,0,671,262,0,18,0,6,0,0,0,2,0,4
지능범죄,직권남용,875,0,841,2,685,128,0,25,1,34,0,0,0,21,0,13
지능범죄,증수뢰,402,1,153,1,33,76,0,38,5,248,0,0,0,58,164,26
지능범죄,통화,376,0,357,85,0,40,0,117,115,19,0,1,0,0,0,18
지능범죄,문서・인장,10472,48,9685,231,6169,1131,2,1739,413,739,52,0,0,51,459,177
지능범죄,유가증권인지,63,1,60,15,30,5,1,4,5,2,0,0,0,1,0,1
지능범죄,사기,294075,4138,283000,46326,88787,1768,369,144860,890,6937,26,15,1,1092,2853,2950
지능범죄,횡령,50421,224,49715,32926,12165,767,60,3431,366,482,14,71,0,200,53,144
지능범죄,배임,3466,0,3120,6,2462,571,0,73,8,346,0,1,0,47,270,28
풍속범죄,소계,23360,1626,15231,4295,5170,231,90,2682,2763,6503,65,2,0,1040,1503,3893
풍속범죄,성풍속범죄,16969,1112,13088,4002,5141,163,44,2427,1311,2769,56,2,0,345,619,1747
풍속범죄,도박범죄,6391,514,2143,293,29,68,46,255,1452,3734,9,0,0,695,884,2146
특별경제범죄,소계,40708,6201,32251,8081,13642,3683,84,5353,1408,2256,16,2,0,438,649,1151
마약범죄,소계,8088,275,2037,156,23,224,473,149,1012,5776,111,4,0,1218,525,3918
보건범죄,소계,16936,306,14296,422,432,8589,10,1374,3469,2334,171,0,1,137,276,1749
환경범죄,소계,3656,8,3346,44,78,2853,2,116,253,302,27,0,0,43,145,87
교통범죄,소계,308634,1741,214549,144501,770,3893,4322,456,60607,92344,52449,15,60,80,100,39640
노동범죄,소계,406,1,327,6,44,193,0,56,28,78,3,0,0,35,1,39
안보범죄,소계,206,2,78,9,31,21,0,10,7,126,0,0,1,39,8,78
선거범죄,소계,274,8,240,5,18,121,1,46,49,26,0,0,0,16,1,9
병역범죄,소계,1823,0,1807,0,4,1801,0,1,1,16,1,0,0,0,0,15
기타범죄,소계,243082,16982,158825,28191,65686,18128,325,22091,24404,67275,6622,39,204,2037,36891,21482
