죄종별(1),죄종별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
죄종별(1),죄종별(2),계,현행범,신고,신고.1,신고.2,신고.3,신고.4,신고.5,신고.6,미신고,미신고.1,미신고.2,미신고.3,미신고.4,미신고.5,미신고.6
죄종별(1),죄종별(2),소계,소계,소계,피해자신고,고소,고발,자수,진정투서,타인신고,소계,불심검문,피해품발견,변사체,탐문정보,여죄,기타
계,소계,1611906,105755,1266940,647179,257840,56180,9265,177974,118502,239211,88744,973,352,18212,47225,83705
강력범죄,소계,26476,3843,21219,10735,7111,91,67,536,2679,1414,119,2,67,571,123,532
강력범죄,살인기수,297,46,158,13,23,1,12,2,107,93,1,0,62,5,1,24
강력범죄,살인미수등,482,203,253,87,46,3,10,3,104,26,2,0,0,6,0,18
강력범죄,강도,798,109,527,408,52,1,3,6,57,162,2,0,3,69,61,27
강력범죄,강간,5310,347,4668,1774,2238,21,8,132,495,295,1,1,0,149,20,124
강력범죄,유사강간,782,54,693,265,317,4,1,18,88,35,0,0,0,22,2,11
강력범죄,강제추행,17120,2562,13820,7627,4326,57,19,362,1429,738,112,1,0,306,34,285
강력범죄,기타 강간·강제추행등,325,31,266,108,93,1,1,8,55,28,0,0,2,10,1,15
강력범죄,방화,1362,491,834,453,16,3,13,5,344,37,1,0,0,4,4,28
절도범죄,소계,186957,4968,164936,156841,3478,91,180,2168,2178,17053,274,586,0,4699,9501,1993
폭력범죄,소계,287913,48826,234980,183571,31487,286,186,4923,14527,4107,19,37,25,924,565,2537
폭력범죄,상해,36858,5766,30479,19222,7743,36,32,492,2954,613,3,3,11,154,26,416
폭력범죄,폭행,157197,30285,125280,103004,12235,67,91,1182,8701,1632,8,25,12,171,108,1308
폭력범죄,체포・감금,1243,217,988,573,263,16,0,18,118,38,0,0,0,15,11,12
폭력범죄,협박,21022,4372,16258,10390,4660,29,7,582,590,392,3,1,1,69,18,300
폭력범죄,약취・유인,250,21,201,91,69,3,1,4,33,28,0,0,0,5,5,18
폭력범죄,폭력행위등,8350,1111,6797,4393,1366,25,4,122,887,442,1,1,0,247,20,173
폭력범죄,공갈,4847,74,4261,1345,1325,14,1,1506,70,512,1,0,0,206,231,74
폭력범죄,손괴,58146,6980,50716,44553,3826,96,50,1017,1174,450,3,7,1,57,146,236
지능범죄,소계,381533,9071,362373,75921,133446,4641,226,145716,2423,10089,176,192,0,2563,2501,4657
지능범죄,직무유기,590,0,565,0,413,134,0,18,0,25,0,0,0,4,0,21
지능범죄,직권남용,674,0,632,1,489,125,0,16,1,42,0,0,0,24,1,17
지능범죄,증수뢰,260,1,133,4,25,60,0,41,3,126,1,0,0,77,3,45
지능범죄,통화,980,2,906,237,2,163,0,271,233,72,1,3,0,5,0,63
지능범죄,문서・인장,11343,137,10587,259,7124,1159,12,1214,819,619,71,0,0,108,45,395
지능범죄,유가증권인지,140,0,130,24,85,6,0,2,13,10,0,0,0,2,1,7
지능범죄,사기,304472,8592,288762,37515,107078,1608,149,141482,930,7118,41,13,0,1651,1747,3666
지능범죄,횡령,58508,338,56665,37872,14803,916,64,2593,417,1505,62,176,0,611,242,414
지능범죄,배임,4566,1,3993,9,3427,470,1,79,7,572,0,0,0,81,462,29
풍속범죄,소계,21153,2770,10645,4533,1820,182,52,1085,2973,7738,103,2,0,2304,991,4338
풍속범죄,성풍속범죄,13145,1797,8215,4266,1799,109,26,833,1182,3133,82,2,0,779,823,1447
풍속범죄,도박범죄,8008,973,2430,267,21,73,26,252,1791,4605,21,0,0,1525,168,2891
특별경제범죄,소계,51400,11230,37324,8841,16078,5132,69,6032,1172,2846,169,8,0,967,240,1462
마약범죄,소계,8038,221,1516,134,20,124,377,37,824,6301,182,7,4,2212,262,3634
보건범죄,소계,12570,645,10233,604,453,4839,7,1124,3206,1692,100,1,1,270,117,1203
환경범죄,소계,3877,15,3479,59,103,2670,8,174,465,383,79,0,0,78,8,218
교통범죄,소계,377354,1726,256559,183785,669,1587,7799,372,62347,119069,79498,32,25,146,31,39337
노동범죄,소계,975,6,364,10,75,144,1,65,69,605,10,0,0,61,450,84
안보범죄,소계,169,3,44,5,18,10,0,6,5,122,0,0,0,23,7,92
선거범죄,소계,611,0,410,2,63,308,4,24,9,201,0,0,0,171,1,29
병역범죄,소계,12712,0,12688,0,29,12651,0,7,1,24,3,0,0,0,0,21
기타범죄,소계,240168,22431,150170,22138,62990,23424,289,15705,25624,67567,8012,106,230,3223,32428,23568
