"죄종별(1)",죄종별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,1일이내,2일이내,3일이내,10일이내,1개월이내,3개월이내,6개월이내,1년이내,1년초과,계,1일이내,2일이내,3일이내,10일이내,1개월이내,3개월이내,6개월이내,1년이내,1년초과,계,1일이내,2일이내,3일이내,10일이내,1개월이내,3개월이내,6개월이내,1년이내,1년초과,계,1일이내,2일이내,3일이내,10일이내,1개월이내,3개월이내,6개월이내,1년이내,1년초과,계,1일이내,2일이내,3일이내,10일이내,1개월이내,3개월이내,6개월이내,1년이내,1년초과
"폭력범죄",폭력행위등,8694,2595,124,168,1176,2048,1640,467,209,267,7945,2043,98,157,1084,1956,1668,453,234,252,7073,1439,66,120,920,1849,1711,489,229,250,6155,955,55,85,763,1699,1662,510,215,211,6401,1032,50,81,637,1709,1819,646,249,178
"폭력범죄",공갈,2584,196,17,13,129,440,730,392,270,397,3031,186,27,29,160,463,888,602,326,350,2679,144,21,14,91,378,794,537,325,375,2362,100,12,13,84,392,720,481,304,256,2335,105,7,8,86,324,709,466,353,277
"폭력범죄",손괴,32726,11038,456,842,5172,7561,5276,1277,564,540,35222,10371,566,852,5771,8894,6189,1441,575,563,35426,8521,506,832,6132,9620,7084,1582,592,557,33312,6951,406,679,5481,9515,7352,1850,586,492,34578,7242,391,666,5153,9532,8286,2089,747,472
"지능범죄",소계,245413,14071,819,959,7435,33656,62566,33047,27736,65124,267063,13852,983,1021,9099,40520,76371,37801,28003,59413,279050,12431,1307,1344,11143,40655,83261,44777,28242,55890,215471,8218,1007,974,8512,29177,64371,38260,26617,38335,229265,9131,752,835,7369,29824,72029,42413,29362,37550
"지능범죄",직무유기,333,-,1,-,5,26,75,57,61,108,327,2,-,-,2,29,86,65,42,101,361,-,-,-,1,25,114,60,66,95,346,16,2,1,13,31,109,63,46,65,308,11,-,1,5,27,92,60,59,53
"지능범죄",직권남용,341,3,-,-,4,26,103,57,54,94,399,2,-,-,2,27,128,82,62,96,409,2,1,2,11,31,119,68,60,115,346,13,-,3,5,38,98,68,37,84,381,15,-,3,2,34,116,95,57,59
"지능범죄",증수뢰,328,1,-,-,1,9,32,45,49,191,240,2,-,-,3,8,30,26,30,141,259,3,-,-,1,7,33,19,44,152,361,3,-,-,4,7,33,194,31,89,236,2,-,1,2,12,36,37,30,116
"지능범죄",통화,153,36,3,4,19,22,31,15,13,10,107,19,7,4,17,23,23,6,4,4,63,11,2,2,9,13,14,9,1,2,39,3,3,7,7,7,4,4,2,2,33,4,1,1,6,5,12,2,2,-
"지능범죄",문서・인장,10794,481,39,40,386,1414,1536,1069,1242,4587,9610,432,45,55,473,1095,1654,1121,1151,3584,9055,344,40,48,411,1080,1661,1121,1112,3238,7771,190,26,27,330,944,1736,1153,952,2413,7997,276,36,39,411,1032,1857,1179,972,2195
"지능범죄",유가증권인지,153,13,2,2,3,5,18,36,16,58,103,1,1,-,3,7,17,11,12,51,68,2,-,-,3,6,9,5,12,31,39,2,-,-,-,6,7,2,8,14,39,3,-,-,6,4,7,7,3,9
