"죄종별(1)",죄종별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,현행범,신고,신고,신고,신고,신고,신고,신고,미신고,미신고,미신고,미신고,미신고,미신고,미신고,계,현행범,신고,신고,신고,신고,신고,신고,신고,미신고,미신고,미신고,미신고,미신고,미신고,미신고,계,현행범,신고,신고,신고,신고,신고,신고,신고,미신고,미신고,미신고,미신고,미신고,미신고,미신고,계,현행범,신고,신고,신고,신고,신고,신고,신고,미신고,미신고,미신고,미신고,미신고,미신고,미신고,계,현행범,신고,신고,신고,신고,신고,신고,신고,미신고,미신고,미신고,미신고,미신고,미신고,미신고
"죄종별(1)",죄종별(2),소계,소계,소계,피해자신고,고소,고발,자수,진정투서,타인신고,소계,불심검문,피해품발견,변사체,탐문정보,여죄,기타,소계,소계,소계,피해자신고,고소,고발,자수,진정투서,타인신고,소계,불심검문,피해품발견,변사체,탐문정보,여죄,기타,소계,소계,소계,피해자신고,고소,고발,자수,진정투서,타인신고,소계,불심검문,피해품발견,변사체,탐문정보,여죄,기타,소계,소계,소계,피해자신고,고소,고발,자수,진정투서,타인신고,소계,불심검문,피해품발견,변사체,탐문정보,여죄,기타,소계,소계,소계,피해자신고,고소,고발,자수,진정투서,타인신고,소계,불심검문,피해품발견,변사체,탐문정보,여죄,기타
"절도범죄",소계,176809,5320,152617,145237,2999,90,144,1921,2226,18872,310,1075,1,6785,8703,1998,186957,4968,164936,156841,3478,91,180,2168,2178,17053,274,586,-,4699,9501,1993,179517,4268,159232,150505,3619,110,144,2764,2090,16017,260,535,-,2738,10769,1715,166409,3460,149375,141121,3256,89,111,3158,1640,13574,188,494,-,1424,10249,1219,182270,3296,163408,153874,3452,105,120,4062,1795,15566,178,391,0,975,12795,1227
"폭력범죄",소계,287611,54997,227816,176555,31967,259,160,4897,13978,4798,35,56,27,1332,676,2672,287913,48826,234980,183571,31487,286,186,4923,14527,4107,19,37,25,924,565,2537,265768,35405,226775,175506,31268,355,174,6246,13226,3588,33,32,34,701,418,2370,232661,27585,202393,153791,28980,302,192,6669,12459,2683,21,31,28,476,264,1863,245286,29432,213412,161019,29269,336,185,9146,13457,2442,17,32,16,332,221,1824
"폭력범죄",상해,39766,6568,32463,19997,8804,34,35,552,3041,735,5,4,11,257,29,429,36858,5766,30479,19222,7743,36,32,492,2954,613,3,3,11,154,26,416,32904,4262,28101,17609,7314,46,27,469,2636,541,9,3,16,111,35,367,28453,3452,24634,15487,6192,35,39,489,2392,367,6,1,11,85,6,258,26806,3429,23078,14255,5680,30,25,608,2480,299,-,3,10,53,11,222
"폭력범죄",폭행,159267,35509,121476,99453,12225,48,69,1407,8274,2282,13,27,13,275,486,1468,157197,30285,125280,103004,12235,67,91,1182,8701,1632,8,25,12,171,108,1308,139361,20916,116965,95832,11716,88,74,1427,7828,1480,11,14,16,121,85,1233,115942,15098,99743,80105,10916,48,81,1456,7137,1101,5,12,13,81,31,959,125217,16013,108130,85839,12280,71,90,2054,7796,1074,9,17,6,71,22,949
"폭력범죄",체포・감금,1207,243,927,518,276,15,1,21,96,37,1,-,-,15,3,18,1243,217,988,573,263,16,-,18,118,38,-,-,-,15,11,12,1209,192,994,502,356,9,-,21,106,23,-,-,1,6,2,14,1165,176,952,513,276,14,-,17,132,37,1,-,-,7,15,14,1145,180,948,447,320,14,1,33,133,17,-,-,-,2,2,13
"폭력범죄",협박,17200,3747,13090,7798,4336,27,7,531,391,363,7,1,1,106,27,221,21022,4372,16258,10390,4660,29,7,582,590,392,3,1,1,69,18,300,21214,3662,17183,10673,5138,38,15,736,583,369,11,1,-,59,20,278,21058,3625,17059,10628,4979,38,23,692,699,374,5,2,-,34,69,264,21567,4256,17026,10846,4610,42,15,756,757,285,4,1,-,18,12,250
"폭력범죄",약취・유인,187,20,150,77,43,5,-,3,22,17,-,-,-,4,2,11,250,21,201,91,69,3,1,4,33,28,-,-,-,5,5,18,210,8,190,75,70,4,-,9,32,12,-,-,-,5,-,7,240,16,194,84,64,2,-,9,35,30,-,-,-,6,16,8,276,20,245,111,82,4,-,8,40,11,-,-,-,2,1,8
"폭력범죄",폭력행위등,9204,1380,7309,4716,1363,21,4,136,1069,515,3,2,-,274,52,184,8350,1111,6797,4393,1366,25,4,122,887,442,1,1,-,247,20,173,7398,656,6377,4045,1363,26,8,138,797,365,-,1,1,185,29,149,6484,496,5721,3588,1256,35,5,152,685,267,-,1,1,138,14,113,6745,484,6038,3838,1181,31,7,185,796,223,2,1,-,107,17,96
"폭력범죄",공갈,4096,80,3581,1106,1172,26,1,1215,61,435,-,1,-,314,28,92,4847,74,4261,1345,1325,14,1,1506,70,512,1,-,-,206,231,74,5281,51,4824,1265,1322,29,3,2151,54,406,-,-,-,177,163,66,5131,42,4898,1131,1269,23,3,2417,55,191,-,2,1,103,40,45,6904,38,6676,1563,1276,28,3,3729,77,190,1,-,-,66,83,40
"폭력범죄",손괴,56684,7450,48820,42890,3748,83,43,1032,1024,414,6,21,2,87,49,249,58146,6980,50716,44553,3826,96,50,1017,1174,450,3,7,1,57,146,236,58191,5658,52141,45505,3989,115,47,1295,1190,392,2,13,-,37,84,256,54188,4680,49192,42255,4028,107,41,1437,1324,316,4,13,2,22,73,202,56626,5012,51271,44120,3840,116,44,1773,1378,343,1,10,-,13,73,246
"지능범죄",소계,344698,9123,321942,64068,128904,4013,122,122576,2259,13633,234,230,-,3181,6188,3800,381533,9071,362373,75921,133446,4641,226,145716,2423,10089,176,192,-,2563,2501,4657,424642,7490,407081,84595,140531,4987,321,174510,2137,10071,143,195,-,2348,3219,4166,361107,4412,347882,79592,111002,4748,432,150305,1803,8813,92,88,1,1472,3799,3361,405105,5457,394092,88136,127905,5817,558,169468,2208,5556,103,112,0,904,1607,2830
"지능범죄",직무유기,581,-,569,1,413,135,-,18,2,12,-,-,-,9,-,3,590,-,565,-,413,134,-,18,-,25,-,-,-,4,-,21,730,-,719,3,472,220,-,24,-,11,-,-,-,6,-,5,957,-,951,-,671,262,-,18,-,6,-,-,-,2,-,4,1550,0,1543,1,1227,289,-,26,-,7,-,-,-,5,1,1
"지능범죄",직권남용,603,1,557,2,439,92,-,22,2,45,-,-,-,26,1,18,674,-,632,1,489,125,-,16,1,42,-,-,-,24,1,17,724,-,673,3,517,117,1,33,2,51,-,-,-,18,1,32,875,-,841,2,685,128,-,25,1,34,-,-,-,21,-,13,1792,0,1777,3,1514,227,-,29,4,15,-,-,-,7,1,7
