"범죄별(1)",2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"범죄별(1)",합계,아파트ㆍ연립ㆍ다세대,단독주택,고속도로,노상,상점,시장노점,숙박업소ㆍ 목욕탕,유흥접객업소,사무실,공장,공사장ㆍ광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,기타,합계,아파트ㆍ연립ㆍ다세대,단독주택,고속도로,노상,상점,시장노점,숙박업소ㆍ 목욕탕,유흥접객업소,사무실,공장,공사장ㆍ광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,기타,합계,아파트ㆍ연립ㆍ다세대,단독주택,고속도로,노상,상점,시장노점,숙박업소ㆍ 목욕탕,유흥접객업소,사무실,공장,공사장ㆍ광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,기타,합계,아파트ㆍ연립ㆍ다세대,단독주택,고속도로,노상,상점,시장노점,숙박업소ㆍ 목욕탕,유흥접객업소,사무실,공장,공사장ㆍ광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,기타,합계,아파트ㆍ연립ㆍ다세대,단독주택,고속도로,노상,상점,시장노점,숙박업소ㆍ 목욕탕,유흥접객업소,사무실,공장,공사장ㆍ광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,기타
"폭행",165498,11949,8380,132,60975,2561,576,1079,12419,2818,456,431,57,574,299,761,103,1204,649,55,1075,242,175,78,39,154,2,58255,164500,21862,14834,165,63415,4750,1746,2337,23513,3840,747,706,82,1219,591,2275,169,1451,915,110,1676,528,233,76,59,176,16,17009,161915,25373,15367,185,60830,4438,1746,2236,22858,3685,715,613,88,1203,591,2170,209,1532,933,106,1683,425,221,64,58,159,16,14411,143600,23483,13491,185,53395,4155,1339,1840,19382,3359,693,594,96,986,472,1991,149,1157,430,99,1471,185,251,85,57,158,8,14089,119515,23814,12770,206,42680,3599,1100,1943,9558,2988,665,579,93,873,428,2000,99,1147,548,72,1258,185,249,57,41,145,8,12410
"상해",49376,3855,3098,47,16900,699,300,525,5186,1466,399,281,33,146,30,142,48,507,561,15,400,171,210,36,4,134,8,14175,43666,5070,3946,43,15459,905,465,785,7213,1534,417,335,44,191,61,198,71,469,592,22,462,221,139,36,11,113,9,4855,40306,5242,3652,53,14175,814,459,745,7020,1400,340,268,34,184,64,241,51,429,587,22,415,128,148,25,15,98,7,3690,36022,4828,3310,56,12723,777,420,612,5954,1265,314,252,38,162,36,168,42,372,245,24,365,78,172,24,3,99,10,3673,30862,5032,3075,51,10784,646,321,733,3632,1080,346,242,40,129,43,140,28,348,332,12,339,64,151,23,11,99,4,3157
"협박",16007,1811,1688,112,5026,271,65,74,709,596,38,36,8,21,8,31,7,58,74,14,103,40,30,5,3,18,4,5157,17777,3304,2717,93,5080,476,130,183,1282,770,59,38,9,50,16,83,15,76,101,20,160,55,39,9,6,25,3,2978,21648,4462,3401,101,6420,548,156,212,1548,822,69,60,10,43,16,100,10,107,128,28,178,48,50,12,3,24,2,3090,21814,4541,3205,106,6561,617,148,193,1484,739,62,49,7,45,18,80,15,106,77,11,142,45,64,11,6,21,-,3461,21502,5081,3342,90,6170,567,155,196,1145,706,68,52,9,31,10,88,18,106,95,17,133,33,77,10,4,20,3,3276
"공갈",4981,256,304,3,996,134,44,73,604,363,23,46,4,13,-,16,3,40,100,29,22,10,11,1,1,7,-,1878,4823,273,347,3,940,139,64,102,292,354,19,26,1,19,4,17,3,45,80,44,22,8,12,1,2,7,-,1999,5574,294,371,2,973,152,55,97,459,390,15,19,-,12,3,20,2,55,81,29,33,7,9,1,4,8,1,2482,5993,351,399,2,843,172,48,90,210,338,14,23,1,10,1,17,6,58,37,25,31,8,4,-,4,4,-,3297,5587,386,329,4,693,118,34,64,155,283,10,18,3,6,1,24,1,29,48,20,23,7,4,1,6,3,1,3316
"약취와 유인",216,23,11,-,78,2,-,8,6,1,-,-,-,4,1,1,-,3,14,-,1,1,1,-,-,-,-,61,199,26,11,-,83,1,3,4,2,4,-,-,-,5,-,3,-,1,15,-,3,-,1,-,-,-,-,37,260,41,26,-,102,3,-,11,8,3,-,-,-,3,-,3,-,5,16,1,3,1,-,1,-,-,-,33,223,39,23,-,78,2,3,16,2,2,-,-,-,3,-,2,-,6,4,1,1,-,-,-,-,-,-,41,251,50,17,-,112,2,1,10,1,4,-,-,-,-,1,3,-,2,7,2,1,2,-,-,-,-,-,36
"체포와 감금",1728,203,140,9,356,13,3,51,57,85,5,4,3,4,-,58,-,-,13,-,40,12,5,-,-,-,1,666,1494,223,156,7,311,21,11,122,85,78,5,1,2,7,-,95,2,3,10,1,42,15,4,1,1,3,-,288,1591,253,158,6,325,15,12,130,77,88,5,1,2,6,2,100,2,6,9,2,40,10,3,-,-,-,-,339,1467,236,144,6,288,25,12,123,69,69,5,6,3,2,-,113,6,7,16,2,39,7,6,-,1,3,-,279,1401,294,155,8,250,23,4,122,54,74,6,3,-,3,-,108,-,3,7,3,35,7,5,-,-,-,-,237
"폭력행위등(손괴,강요,주거침입등)",843,104,103,1,112,39,8,17,30,40,10,18,3,2,-,-,-,2,25,-,1,15,5,-,-,-,1,307,769,141,108,-,102,31,15,32,40,52,13,11,2,2,-,-,1,2,19,-,2,13,12,2,-,1,-,168,853,173,138,-,122,25,11,54,42,56,16,16,-,-,-,-,2,3,38,2,4,19,12,-,-,-,-,120,982,206,166,1,106,29,20,42,38,76,20,18,2,1,-,-,3,6,37,-,5,16,31,2,-,-,1,156,1209,294,192,1,137,24,17,78,30,81,29,24,5,1,1,1,2,8,48,1,6,17,25,-,1,-,1,185
"폭력행위등(단체등의구성, 활동)",140,2,5,-,51,3,-,2,29,3,-,-,-,-,-,-,-,8,-,-,-,-,1,-,-,-,-,36,164,7,2,-,56,4,4,1,25,3,-,-,-,1,-,-,-,10,3,-,-,-,-,1,-,-,-,47,169,9,1,-,66,2,3,2,20,24,-,2,-,-,-,-,-,5,5,-,1,1,-,-,-,-,-,28,140,4,9,-,35,4,8,2,30,6,2,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,37,133,6,5,-,31,1,1,6,18,4,2,-,-,-,-,-,-,1,4,-,-,1,1,-,-,-,-,52
"도박과 복표",8799,576,1051,1,64,147,26,66,232,1517,10,1,18,-,-,1,11,19,1,3,3,-,38,2,-,-,1,5011,6074,370,1018,-,54,116,69,92,363,1422,20,1,25,1,-,2,12,34,-,5,3,2,18,1,5,-,-,2441,8086,403,882,-,92,179,71,119,430,1682,18,-,19,4,1,2,14,57,-,2,1,1,17,-,18,1,-,4073,8068,322,790,-,104,111,76,48,393,2157,15,-,31,2,-,2,10,35,11,4,2,1,18,2,18,-,-,3916,6321,280,614,-,69,161,51,48,271,1589,15,1,30,1,-,1,12,9,-,4,-,1,15,4,8,-,-,3137
"과실치사상",2583,97,95,7,933,88,25,34,186,35,17,15,1,47,14,8,94,99,24,2,30,6,37,2,-,2,1,684,2806,165,110,7,1172,104,28,29,310,47,20,13,1,90,33,16,82,121,32,5,47,13,43,3,2,4,2,307,3130,181,128,2,1263,125,62,44,327,48,29,14,6,115,52,19,113,162,26,1,50,11,32,3,-,2,1,314,2883,219,115,1,1273,91,41,26,241,45,21,18,-,83,31,20,102,139,12,4,45,5,38,4,1,3,1,304,2557,190,102,2,1190,109,42,22,111,38,17,14,4,82,29,17,89,105,16,1,34,5,38,6,1,2,-,291
