"죄종별(1)",죄종별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상
"폭력범죄",폭행,159641,21395,17631,9412,11236,11508,13903,20798,37016,16742,159267,19941,16811,9409,11742,12011,14604,20925,35219,18605,157197,19226,16377,9345,11591,12509,14791,20704,34120,18534,139361,15946,13505,8012,10517,11525,13960,19596,30110,16190,115942,8810,6101,5609,9719,10942,12858,19282,30009,12612,125217,11838,8589,6549,10187,11253,13063,18742,29602,15394
"폭력범죄",체포·감금,1439,106,131,121,168,145,150,202,216,200,1207,99,90,86,114,122,154,167,162,213,1243,96,106,76,122,147,146,135,185,230,1209,85,104,70,110,138,140,142,170,250,1165,88,68,80,112,104,140,148,192,233,1145,81,78,56,95,112,111,145,183,284
"폭력범죄",협박,15499,999,767,1099,1780,1731,1945,2386,2553,2239,17200,1067,847,1102,1890,1769,2094,2747,2851,2833,21022,1316,1036,1339,2288,2251,2687,3304,3437,3364,21214,1235,1022,1340,2225,2348,2799,3324,3335,3586,21058,1025,769,1173,2252,2425,2776,3368,3673,3597,21567,1300,964,1327,2193,2392,2683,3406,3659,3643
"폭력범죄",약취·유인,206,11,11,12,27,30,39,30,5,41,187,2,9,13,14,42,35,28,17,27,250,10,12,17,29,41,48,32,13,48,210,7,6,8,21,43,48,24,11,42,240,8,3,9,20,47,59,37,16,41,276,7,2,14,31,42,59,41,22,58
"폭력범죄",폭력행위등,11255,1870,1796,588,552,592,810,1175,2304,1568,9204,1415,1505,516,463,503,752,943,1693,1414,8350,1234,1263,460,450,508,704,936,1427,1368,7398,1116,1025,394,424,475,632,802,1247,1283,6484,640,518,265,333,460,592,913,1694,1069,6745,762,588,275,331,403,552,890,1660,1284
"폭력범죄",공갈,4152,150,81,85,403,298,478,654,603,1400,4096,119,91,65,304,340,485,587,491,1614,4847,135,122,74,388,455,590,599,507,1977,5281,120,106,59,345,477,647,655,486,2386,5131,127,75,65,301,497,658,622,464,2322,6904,183,81,98,293,672,859,834,691,3193
"폭력범죄",손괴,56283,5291,4704,3960,5085,4506,5994,9130,11014,6599,56684,5213,4524,3905,5130,4694,6144,9066,10633,7375,58146,5107,4556,4014,5277,4983,6289,9323,10822,7775,58191,5001,4357,3971,5232,5198,6722,9381,10293,8036,54188,3363,2677,3295,5127,5209,6693,9354,10922,7548,56626,4323,3495,3612,5119,5197,6817,8948,10835,8280
"지능범죄",소계,302466,8144,6107,5147,53020,33174,23158,17306,16869,139541,344698,8064,6271,5373,49689,35810,27529,18963,17692,175307,381533,8393,6637,5971,49269,38231,28941,20981,19100,204010,424642,8553,6607,6507,49785,44125,36693,25697,20134,226541,361107,4510,3483,5322,36537,43434,39182,23055,16590,188994,405105,6686,4855,6556,34114,44938,43169,28810,22007,213970
"지능범죄",직무유기,504,-,3,8,140,37,16,11,5,284,581,3,2,3,117,31,26,7,10,382,590,2,3,8,123,33,21,9,5,386,730,2,4,9,137,47,29,11,6,485,957,4,5,7,99,33,30,16,6,757,1550,6,7,7,114,54,48,23,19,1272
"지능범죄",직권남용,494,14,7,10,92,48,37,26,25,235,603,10,12,12,123,60,26,24,20,316,674,8,11,12,135,48,40,26,15,379,724,11,10,11,145,64,38,26,22,397,875,10,4,11,79,49,31,40,29,622,1792,18,11,21,127,77,51,56,43,1388
