"죄종별(1)",죄종별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
"죄종별(1)",죄종별(2),소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"강력범죄",방화,109,-,-,-,-,-,-,-,-,-,1,9,-,28,1,1,11,58,99,-,-,-,-,-,-,-,-,-,1,16,-,14,-,3,11,54,99,2,-,-,-,-,-,2,-,-,1,21,-,20,3,4,5,43,76,1,-,-,-,-,-,1,-,-,1,31,-,19,-,3,20,1,95,1,-,-,-,-,-,1,1,-,-,37,-,33,1,2,18,2
"절도범죄",소계,16873,2932,779,500,3,31,-,1619,310,-,5,1000,224,2687,13,75,1727,7900,17111,2657,686,452,6,29,1,1483,290,-,1,1008,209,2885,13,74,1745,8229,17027,3553,1030,559,4,27,2,1931,396,-,5,2377,284,3586,44,167,2173,4442,12692,3400,1018,513,21,39,9,1800,406,1,12,2371,418,3553,38,125,2049,319,14772,3835,1132,494,14,40,-,2155,504,-,16,2480,496,4176,33,197,2635,400
"폭력범죄",소계,20617,428,73,98,-,6,5,246,45,3,161,116,19,7519,183,182,3457,8504,19638,477,85,131,3,3,6,249,65,5,205,153,17,7358,127,164,3685,7382,15729,551,113,127,3,6,12,290,83,18,266,297,25,6626,144,149,3336,4234,14654,522,103,96,1,3,4,315,72,36,372,549,29,7291,164,237,3405,1977,16622,493,115,99,10,1,3,265,75,39,352,530,26,8076,166,303,4098,2464
"폭력범죄",상해,2778,19,-,2,-,-,-,17,2,-,14,2,-,1458,28,33,570,652,2493,8,-,1,-,-,1,6,3,1,19,13,3,1392,22,14,548,470,1850,11,4,1,-,-,-,6,3,4,20,10,-,1116,16,16,433,221,1744,11,2,-,-,-,2,7,2,11,20,11,-,1156,23,32,417,61,2078,15,4,-,-,-,1,10,4,2,22,18,1,1337,36,22,547,74
"폭력범죄",폭행,8112,34,6,2,-,-,-,26,3,1,114,23,1,2514,40,48,1014,4320,7714,25,2,2,1,-,4,16,5,4,141,15,1,2495,35,65,1148,3780,6042,31,4,5,-,1,-,21,1,7,173,31,7,2380,52,31,1039,2290,5717,44,4,5,-,-,-,35,12,8,250,46,2,2792,45,54,1131,1333,6671,36,4,3,-,-,1,28,13,6,228,52,3,3075,48,83,1395,1732
"폭력범죄",체포·감금,133,15,4,8,-,-,-,3,3,-,-,-,-,36,-,-,20,59,122,8,-,-,-,-,-,8,-,-,-,-,-,44,2,1,28,39,120,10,2,-,-,-,-,8,-,-,1,3,-,31,5,1,51,18,104,10,2,-,-,-,-,8,-,-,-,1,-,25,3,5,29,31,136,8,3,4,-,-,-,1,5,1,1,-,-,37,1,1,49,33
"폭력범죄",협박,565,4,1,-,-,-,-,3,-,1,12,6,1,118,2,1,81,339,672,6,2,1,-,-,-,3,2,-,18,13,1,149,5,3,63,412,671,10,3,-,-,-,-,7,1,2,31,17,1,227,5,5,115,257,655,14,3,1,1,-,-,9,2,6,51,9,-,262,14,7,161,129,786,8,1,1,-,-,-,6,2,1,53,11,2,354,10,8,202,135
"폭력범죄",약취·유인,13,2,1,-,-,-,-,1,-,-,-,1,-,4,-,-,2,4,20,3,-,-,-,-,-,3,-,-,-,1,-,1,-,-,8,7,23,-,-,-,-,-,-,-,1,-,1,2,-,2,-,-,6,11,8,1,1,-,-,-,-,-,-,-,-,1,1,1,-,1,2,1,21,2,-,-,-,-,-,2,-,-,-,-,-,7,1,-,6,5
"폭력범죄",폭력행위등,6993,154,15,45,-,-,5,89,11,1,7,54,7,2969,102,78,1461,2149,6450,217,33,72,-,2,-,110,29,-,4,65,7,2810,49,53,1629,1587,5025,249,45,64,-,2,12,126,40,4,2,133,12,2326,45,52,1335,827,4563,215,38,44,-,2,1,130,25,11,3,317,15,2388,59,62,1247,221,4795,200,46,46,1,-,-,107,19,28,4,296,11,2348,50,93,1466,280
"폭력범죄",공갈,1086,192,45,40,-,6,-,101,25,-,-,4,10,140,4,3,194,514,1053,205,48,52,2,1,1,101,26,-,-,15,4,128,3,5,140,527,928,232,52,57,3,3,-,117,34,1,-,21,3,148,5,8,225,251,740,217,47,46,-,1,1,122,27,-,-,23,7,170,9,15,205,67,809,214,55,45,9,1,1,103,31,-,-,29,8,246,7,6,208,60
"폭력범죄",손괴,937,8,1,1,-,-,-,6,1,-,14,26,-,280,7,19,115,467,1114,5,-,3,-,-,-,2,-,-,23,31,1,339,11,23,121,560,1070,8,3,-,-,-,-,5,3,-,38,80,2,396,16,36,132,359,1123,10,6,-,-,-,-,4,4,-,48,141,4,497,11,61,213,134,1326,10,2,-,-,-,-,8,1,1,44,124,1,672,13,90,225,145
"지능범죄",소계,9801,2665,1185,382,55,9,-,1034,216,-,4,327,78,634,13,180,1719,3965,10652,2970,1333,316,103,6,-,1212,237,-,3,335,63,728,12,141,1684,4479,11732,3833,1700,385,116,35,2,1595,290,-,5,599,130,1099,15,235,2353,3173,8458,3381,1607,283,141,22,4,1324,278,-,3,547,123,902,6,205,2136,877,9011,3228,1554,261,107,22,1,1283,306,1,6,567,134,1166,13,259,2302,1029
"지능범죄",직무유기,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
