"죄종별(1)",죄종별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
"죄종별(1)",죄종별(2),소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"강력범죄",방화,134,-,-,-,-,-,-,-,-,1,4,5,1,52,19,1,50,1,136,1,-,-,-,-,-,1,1,-,4,5,-,50,11,3,61,-,142,-,-,-,-,-,-,-,-,-,8,5,-,60,15,1,51,2,116,2,-,-,-,-,-,2,-,-,5,3,-,48,10,3,45,-,142,1,-,-,-,-,1,1,-,5,4,-,63,13,3,52,-
"절도범죄",소계,1942,392,94,14,1,1,-,282,28,-,-,44,27,783,8,41,579,40,1969,424,121,12,1,3,1,286,29,-,-,35,42,732,11,61,600,35,2265,477,109,9,-,1,-,358,34,-,2,55,25,901,8,51,692,20,2131,448,86,9,2,-,-,351,31,-,1,21,28,821,9,54,718,-,2435,476,111,10,1,1,353,45,-,1,47,29,977,14,57,787,2
"폭력범죄",소계,2328,13,2,3,-,-,-,8,3,9,107,7,1,1274,97,24,764,29,2696,15,2,1,-,-,-,12,1,9,192,13,3,1474,104,22,828,35,2877,14,4,-,-,-,-,10,5,2,185,11,-,1520,87,27,1003,23,2917,14,3,-,-,-,-,11,4,9,228,9,2,1584,80,30,954,3,3186,10,2,1,-,-,7,1,6,225,6,1,1758,81,21,1076,1
"폭력범죄",상해,476,3,-,1,-,-,-,2,-,1,28,2,-,276,12,5,147,2,473,1,-,-,-,-,-,1,-,1,40,2,1,294,18,1,115,-,520,2,1,-,-,-,-,1,-,-,27,1,-,288,15,4,181,2,462,2,1,-,-,-,-,1,2,1,27,-,-,270,13,3,144,-,438,1,1,-,-,-,-,-,-,25,-,-,261,6,3,142,-
"폭력범죄",폭행,928,4,-,-,-,-,-,4,1,3,55,1,-,545,29,9,265,16,1119,2,-,1,-,-,-,1,-,4,92,1,-,637,34,11,319,19,1133,1,-,-,-,-,-,1,2,1,96,2,-,622,24,14,363,8,1161,3,-,-,-,-,-,3,1,4,133,-,-,635,19,14,349,3,1241,5,-,1,-,-,4,-,2,117,-,1,693,20,8,395,-
"폭력범죄",체포·감금,6,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,3,-,10,-,-,-,-,-,-,-,-,-,1,-,-,6,1,-,2,-,4,-,-,-,-,-,-,-,-,-,2,-,-,2,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,7,-,9,1,1,-,-,-,-,-,-,2,-,-,3,-,-,3,-
"폭력범죄",협박,209,1,-,-,-,-,-,1,-,3,9,-,1,116,9,2,67,1,342,2,-,-,-,-,-,2,-,4,35,-,-,165,16,1,112,7,364,3,-,-,-,-,-,3,-,1,37,1,-,179,15,3,122,3,410,2,-,-,-,-,-,2,-,2,42,2,-,221,14,3,124,-,458,1,-,-,-,-,1,-,4,52,1,-,246,15,1,138,-
"폭력범죄",약취·유인,5,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,4,-,5,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,3,-,10,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,8,-,16,-,-,-,-,-,-,-,-,-,-,2,2,6,-,1,5,-,6,-,-,-,-,-,-,-,-,-,-,-,-,1,1,4,-
"폭력범죄",폭력행위등,31,4,1,2,-,-,-,1,1,-,-,-,-,14,1,-,10,1,23,1,-,-,-,-,-,1,-,-,-,-,-,7,2,1,9,3,23,1,-,-,-,-,-,1,-,-,-,-,-,9,2,-,9,2,24,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,10,-,23,-,-,-,-,-,-,-,-,-,-,-,13,-,-,10,-
"폭력범죄",공갈,10,1,1,-,-,-,-,-,-,-,-,-,-,4,-,1,4,-,10,2,2,-,-,-,-,-,1,-,-,-,-,2,-,-,5,-,15,2,2,-,-,-,-,-,3,-,-,-,-,6,-,-,3,1,8,2,1,-,-,-,-,1,-,-,-,-,-,3,-,-,3,-,15,1,-,-,-,-,1,1,-,-,1,-,5,1,-,6,-
