죄종별(1),죄종별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
죄종별(1),죄종별(2),계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
죄종별(1),죄종별(2),소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
강력범죄,기타 강간·강제추행등,458,32,4,1,-,-,-,27,2,-,3,23,14,164,-,11,124,85,495,41,14,-,-,-,1,26,-,-,2,33,25,162,1,11,142,78,349,19,1,1,-,-,-,17,4,-,2,15,16,99,1,7,119,67,271,21,2,-,-,-,-,19,1,-,2,11,11,82,2,1,100,40,283,12,-,1,-,-,-,11,5,-,2,14,17,93,2,2,87,49
강력범죄,방화,1387,24,2,-,-,-,-,22,-,4,69,23,2,633,109,41,302,180,1317,21,3,-,1,-,-,17,2,8,64,25,-,546,85,40,301,225,1196,17,2,1,-,-,-,14,-,7,62,32,-,519,81,46,247,185,948,15,3,-,-,-,1,11,1,2,53,39,-,406,59,38,244,91,1146,21,5,-,-,-,-,16,2,3,40,46,-,511,72,32,279,140
절도범죄,소계,97334,24897,8269,1189,156,85,36,15162,1729,1,29,1438,1254,29707,184,3125,17838,17132,101295,25109,8180,1047,177,75,39,15591,1802,5,26,1474,1171,31717,194,3351,18243,18203,98425,24558,7394,1026,127,66,43,15902,1854,2,35,2799,1070,31334,180,3319,19012,14262,85687,22226,6466,792,141,80,31,14716,1607,6,40,2756,1113,28832,144,2961,17690,8312,94315,22698,6703,753,129,80,30,15003,1926,2,44,2924,1215,32060,161,3300,20420,9565
폭력범죄,소계,348969,2456,452,204,14,13,24,1749,228,222,18378,258,148,139455,2764,3349,53630,128081,346561,2370,468,223,26,7,50,1596,272,223,20583,267,95,142863,2606,3263,49315,124704,313990,2517,451,210,17,7,41,1791,315,221,17763,434,79,130940,2293,2976,47914,108538,264229,2137,338,153,23,6,15,1602,216,271,19454,716,82,118254,1742,2789,43767,74801,274673,2061,371,149,22,2,5,1512,221,250,16897,662,67,126189,1746,2795,46393,77392
폭력범죄,상해,52867,136,11,4,2,3,6,110,24,32,3041,16,7,32169,504,514,10966,5458,48854,141,33,2,1,-,6,99,14,31,2871,25,7,30468,484,452,9303,5058,43552,159,21,2,3,-,6,127,16,43,2375,15,4,27064,398,402,8594,4482,35588,114,11,1,1,-,4,97,14,47,2034,11,1,22954,261,353,6752,3047,33198,96,16,1,1,-,1,77,15,22,1606,21,3,21267,241,317,6588,3022
폭력범죄,폭행,204801,258,29,6,-,1,5,217,36,75,11642,58,18,66700,1056,1124,23598,100236,202710,208,18,10,1,3,12,164,43,76,12927,41,11,69549,1037,1040,21915,95863,178448,289,29,12,1,1,8,238,49,55,11057,60,11,62885,868,945,20902,81327,145634,243,21,10,-,-,2,210,38,82,12940,59,14,57508,608,883,19690,53569,156232,304,18,8,2,1,2,273,54,85,11297,67,14,65059,690,992,22087,55583
폭력범죄,체포·감금,1608,53,13,12,-,-,1,27,3,4,71,1,3,446,17,22,307,681,1654,58,8,-,-,-,1,49,4,2,78,1,2,470,16,7,313,703,1695,65,5,4,2,-,-,54,9,3,62,3,3,446,17,26,336,725,1521,36,2,-,-,-,-,34,1,1,71,2,1,454,17,15,351,572,1432,37,7,4,1,-,-,25,8,3,53,-,1,402,5,14,376,533
폭력범죄,협박,18337,109,9,4,1,-,1,94,4,89,1690,21,15,6832,212,385,3129,5851,22377,111,17,4,1,1,3,85,6,95,2154,29,7,8506,254,487,3495,7233,22507,95,18,4,1,-,2,70,14,71,1943,30,13,8737,217,402,3659,7326,22023,116,16,4,4,-,3,89,14,113,2140,19,4,9055,249,335,3796,6182,22451,89,15,2,1,-,-,71,7,96,1988,18,6,9520,217,293,3835,6382
폭력범죄,약취·유인,260,34,6,4,1,-,-,23,2,-,12,3,6,44,-,1,75,83,351,31,6,-,-,-,-,25,2,-,21,4,9,45,4,4,88,143,296,11,-,-,-,-,-,11,11,-,12,7,6,43,2,4,77,123,318,14,4,-,-,-,-,10,-,-,8,7,16,51,-,3,131,88,321,14,-,-,-,-,-,14,1,-,15,3,9,50,2,11,86,130
폭력범죄,폭력행위등,31885,867,187,97,2,-,8,573,74,4,186,95,67,15349,332,341,7021,7549,28625,800,143,118,9,2,24,504,81,1,167,84,28,14136,205,303,6087,6733,25342,815,135,102,-,2,20,556,105,20,123,164,21,12337,198,221,5740,5598,20526,618,84,73,10,2,2,447,60,12,125,414,29,10203,127,259,4886,3793,21426,617,111,70,3,-,-,433,45,29,103,346,15,10898,160,297,5170,3746
폭력범죄,공갈,3521,714,186,75,6,8,1,438,57,2,5,7,22,387,20,33,724,1550,3552,760,227,84,13,1,4,431,93,1,7,19,20,390,14,28,688,1532,3434,762,210,86,10,4,1,451,68,2,6,23,13,483,20,35,719,1303,2775,684,184,64,7,4,2,423,59,-,14,25,7,441,19,36,679,811,2754,614,183,63,13,1,1,353,63,1,9,30,12,495,25,28,612,865
폭력범죄,손괴,35690,285,11,2,2,1,2,267,28,16,1731,57,10,17528,623,929,7810,6673,38438,261,16,5,1,-,-,239,29,17,2358,64,11,19299,592,942,7426,7439,38716,321,33,-,-,-,4,284,43,27,2185,132,8,18945,573,941,7887,7654,35844,312,16,1,1,-,2,292,30,16,2122,179,10,17588,461,905,7482,6739,36859,290,21,1,1,-,1,266,28,14,1826,177,7,18498,406,843,7639,7131
지능범죄,소계,292114,56411,22147,2020,1494,161,373,30216,4480,2,44,730,872,11011,164,8110,63285,147005,308782,63060,24422,1885,1599,157,305,34692,4979,3,38,596,822,11895,168,9516,68702,149003,307706,64987,26472,2041,1799,144,221,34310,4731,-,42,918,920,12469,149,7893,67291,148306,210381,51130,22838,1166,1748,115,173,25090,3668,1,21,845,708,10020,82,5116,51490,87300,219700,51004,23310,1080,1884,162,86,24482,3795,4,50,894,732,11209,114,5158,51448,95292
지능범죄,직무유기,713,3,2,-,-,-,-,1,-,-,-,-,-,1,-,18,62,629,788,3,-,-,-,-,-,3,-,-,-,-,-,3,-,19,68,695,947,1,-,-,-,-,-,1,-,-,-,-,-,2,-,25,49,870,810,-,-,-,-,-,-,-,-,-,-,-,-,8,-,11,87,704,834,2,-,-,-,-,-,2,-,-,-,-,-,2,-,27,24,779
지능범죄,직권남용,811,4,3,-,-,-,-,1,1,-,-,1,-,13,-,18,139,635,974,7,-,-,-,-,-,7,-,-,1,-,-,7,1,25,115,818,1021,12,-,-,-,-,-,12,-,-,-,-,1,4,-,16,96,892,857,12,-,-,-,-,-,12,-,-,-,-,-,7,-,8,119,711,1020,6,-,-,-,-,-,6,-,2,-,1,-,8,-,9,40,954
지능범죄,증수뢰,1131,204,14,3,1,-,3,183,11,-,1,3,6,45,-,120,422,319,942,217,11,3,-,1,28,174,26,-,-,-,8,8,-,23,404,256,807,225,10,2,1,-,2,210,6,-,-,-,5,6,-,28,253,284,651,143,17,-,1,-,-,125,7,-,-,-,3,9,-,7,211,271,703,162,4,-,-,-,3,155,10,-,-,-,4,7,-,11,200,309
지능범죄,통화,255,46,16,2,-,-,-,28,2,-,-,2,-,1,-,-,24,180,143,28,13,3,-,-,-,12,2,-,-,3,-,1,-,4,18,87,86,14,5,1,-,-,-,8,-,-,-,2,-,-,-,1,10,59,58,12,3,-,-,-,-,9,-,-,-,-,-,-,-,-,11,35,42,8,3,-,-,-,-,5,-,-,-,1,-,1,-,-,6,26
지능범죄,문서·인장,15576,1298,314,11,8,6,10,949,260,-,8,179,63,384,7,707,3738,8932,16253,1416,297,10,7,2,14,1086,146,-,14,195,49,380,14,778,4012,9249,15465,1337,332,15,11,10,6,963,134,-,14,264,70,432,5,612,3773,8824,11441,1007,279,3,11,5,6,703,91,-,2,218,28,328,6,620,3186,5955,11864,1128,335,1,9,3,1,779,95,1,11,185,46,437,5,706,3237,6013
지능범죄,유가증권인지,295,26,4,1,-,-,-,21,-,-,-,1,-,1,-,2,54,211,208,34,13,-,-,-,-,21,1,-,-,1,2,2,-,2,28,138,117,15,1,-,-,-,-,14,-,-,-,-,-,-,-,2,26,74,68,6,2,-,-,-,-,4,2,-,-,-,-,-,-,-,19,41,78,9,1,-,-,-,-,8,2,-,-,-,-,2,-,2,11,52
